KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
1,22333,2235,0.295574,104.16246,0.056183,83.384605,8.136516,61.313919,1.517679,0.363583,125.540268,0.732821,28320,2145,0.316153,67.830696,0.077348,23.006937,13.242218,20.572479,0.532083,0.785876,411.989685,0.910293,0.391224,2.337866,0.750944,0.788595.1.041958
1,31025,4125,0.276264,63.401608,0.022913,50.648056,9.076974,26.69227,1.42815,0.359131,71.531929,0.744377,48863,4755,0.30624,71.498077,0.027157,38.329887,22.188545,32.688419,1.053555,0.577366,423.807465,0.819063,0.39304,3.669929,0.708191,0.634938.0.867508
1,36832,7965,0.274679,65.156616,0.007296,57.636204,11.77747,31.138128,1.648434,0.293116,127.077431,0.703877,54135,3168,0.314406,69.066055,0.067783,35.190125,18.550638,28.637329,1.002722,0.599164,373.516144,0.8254,0.4462,6.926087,0.753462,0.680373.2.514205
1,34974,8115,0.263279,66.084785,0.006674,61.574825,13.302699,34.198906,1.662973,0.267211,126.954521,0.695137,51431,3930,0.308895,66.335373,0.041846,34.919922,18.314508,28.886127,1.047981,0.577987,411.183746,0.815429,0.469368,7.431319,0.575643,0.680018.2.064885
1,31828,9930,0.228109,66.808174,0.004056,49.471413,11.433691,27.163689,1.343836,0.394241,147.499649,0.758286,57700,4071,0.316021,76.921638,0.043751,48.614101,25.652452,39.452927,1.334461,0.475496,449.707581,0.758283,0.35765,8.316583,0.836773,0.551612.2.439204
1,23701,6978,0.242267,53.952385,0.006117,37.614346,8.621966,19.595343,1.230935,0.428663,90.372208,0.786628,44690,2703,0.318026,69.807327,0.076865,44.436192,22.601267,34.568325,1.304549,0.473613,315.389404,0.77745,0.332632,6.533708,0.31098,0.530342.2.581576
1,31947,7173,0.242138,63.488342,0.007803,44.267654,9.485422,24.819304,1.261649,0.434828,99.338615,0.779305,61094,6147,0.296766,79.742218,0.020318,51.921135,29.484987,42.271564,1.349632,0.464251,481.051636,0.765215,0.330642,5.766077,0.653611,0.522915.1.166911
1,28686,4785,0.273889,66.707657,0.015744,47.974838,10.557991,25.246431,1.265952,0.420945,79.043915,0.779894,50622,4782,0.299583,78.260277,0.027818,46.387035,26.333082,36.513149,1.185297,0.523086,429.702301,0.797555,0.343561,4.139273,0.273815,0.566671.1.000627
1,28145,5421,0.268239,60.061481,0.012035,52.133106,9.860604,26.14142,1.593338,0.302863,99.393921,0.713008,44634,3084,0.314506,71.431885,0.058972,41.579742,21.753721,33.718357,1.174511,0.527767,385.725739,0.797553,0.438259,5.346154,0.360196,0.630573.1.757782
1,26639,6276,0.272751,58.653553,0.008499,42.420563,9.376661,24.212234,1.288087,0.410599,98.397949,0.777035,49300,3348,0.317081,74.5793,0.05527,47.972572,25.858793,39.881699,1.291075,0.473379,343.112488,0.782707,0.348072,5.66426,0.729719,0.540345.1.874552
