KIperKP,KontrasP,Solidity_Inti,HomogenitasP,Circularity_Inti,Keliling_Inti,LIperLP ,KelilingP,EntropiP,LuasNormal_P,EnergiP,Homogenitas_Inti,KelilingNormal_I,Entropi_Inti,Granularity_Inti,RerataGP,SolidityP,Energi_Inti,RerataRP,RerataR_Inti,CircularityP,LuasP,GranularityP,RerataG_Inti,RerataBP,Eccentricity,RerataB_Inti,Kontras_Inti,Luas_Inti
1,1.041958,411.989685,0.295574,0.910293,0.056183,2235,0.788595,2145,0.532083,0.391224,0.785876,0.732821,2.337866,1.517679,104.16246,13.242218,0.316153,0.363583,23.006937,83.384605,0.077348,28320,67.830696,8.136516,20.572479,0.750944,61.313919,125.540268,22333
1,0.867508,423.807465,0.276264,0.819063,0.022913,4125,0.634938,4755,1.053555,0.39304,0.577366,0.744377,3.669929,1.42815,63.401608,22.188545,0.30624,0.359131,38.329887,50.648056,0.027157,48863,71.498077,9.076974,32.688419,0.708191,26.69227,71.531929,31025
1,2.514205,373.516144,0.274679,0.8254,0.007296,7965,0.680373,3168,1.002722,0.4462,0.599164,0.703877,6.926087,1.648434,65.156616,18.550638,0.314406,0.293116,35.190125,57.636204,0.067783,54135,69.066055,11.77747,28.637329,0.753462,31.138128,127.077431,36832
1,2.064885,411.183746,0.263279,0.815429,0.006674,8115,0.680018,3930,1.047981,0.469368,0.577987,0.695137,7.431319,1.662973,66.084785,18.314508,0.308895,0.267211,34.919922,61.574825,0.041846,51431,66.335373,13.302699,28.886127,0.575643,34.198906,126.954521,34974
1,2.439204,449.707581,0.228109,0.758283,0.004056,9930,0.551612,4071,1.334461,0.35765,0.475496,0.758286,8.316583,1.343836,66.808174,25.652452,0.316021,0.394241,48.614101,49.471413,0.043751,57700,76.921638,11.433691,39.452927,0.836773,27.163689,147.499649,31828
1,2.581576,315.389404,0.242267,0.77745,0.006117,6978,0.530342,2703,1.304549,0.332632,0.473613,0.786628,6.533708,1.230935,53.952385,22.601267,0.318026,0.428663,44.436192,37.614346,0.076865,44690,69.807327,8.621966,34.568325,0.31098,19.595343,90.372208,23701
1,1.166911,481.051636,0.242138,0.765215,0.007803,7173,0.522915,6147,1.349632,0.330642,0.464251,0.779305,5.766077,1.261649,63.488342,29.484987,0.296766,0.434828,51.921135,44.267654,0.020318,61094,79.742218,9.485422,42.271564,0.653611,24.819304,99.338615,31947
1,1.000627,429.702301,0.273889,0.797555,0.015744,4785,0.566671,4782,1.185297,0.343561,0.523086,0.779894,4.139273,1.265952,66.707657,26.333082,0.299583,0.420945,46.387035,47.974838,0.027818,50622,78.260277,10.557991,36.513149,0.273815,25.246431,79.043915,28686
1,1.757782,385.725739,0.268239,0.797553,0.012035,5421,0.630573,3084,1.174511,0.438259,0.527767,0.713008,5.346154,1.593338,60.061481,21.753721,0.314506,0.302863,41.579742,52.133106,0.058972,44634,71.431885,9.860604,33.718357,0.360196,26.14142,99.393921,28145
1,1.874552,343.112488,0.272751,0.782707,0.008499,6276,0.540345,3348,1.291075,0.348072,0.473379,0.777035,5.66426,1.288087,58.653553,25.858793,0.317081,0.410599,47.972572,42.420563,0.05527,49300,74.5793,9.376661,39.881699,0.729719,24.212234,98.397949,26639
1,1.423712,525.832275,0.253547,0.782831,0.00429,12681,0.640405,8907,1.215461,0.457309,0.522469,0.696312,9.149351,1.658149,68.033195,23.991095,0.300926,0.280668,43.0205,61.583015,0.013579,85727,73.897148,12.654294,34.626331,0.597897,32.101109,132.483994,54900
1,1.87395,328.263489,0.27089,0.828853,0.012895,6021,0.687044,3213,1.002751,0.469484,0.595673,0.705,5.347247,1.641759,60.322857,17.99827,0.308603,0.271182,33.736469,55.726059,0.065909,54145,65.57711,11.053498,26.951323,0.78339,27.657429,84.275307,37200
1,1.591575,327.084381,0.268333,0.841546,0.0163,5214,0.70916,3276,0.926804,0.46651,0.631739,0.69286,4.74,1.6743,62.240177,17.185001,0.314349,0.274557,30.763126,56.97768,0.058223,49725,64.233215,9.179589,25.228035,0.810134,26.496277,82.86161,35263
1,2.153398,313.615784,0.266154,0.806441,0.007045,6654,0.601765,3090,1.144604,0.376367,0.537078,0.764054,6.472763,1.352859,51.220791,20.363977,0.315967,0.372806,36.572079,39.230465,0.054286,41247,64.83786,9.223431,29.682877,0.462149,20.848322,79.882202,24821
